date,total_predicted_sales
2013-01-01,18258.3596606255
2013-01-02,90072.7622680664
2013-01-03,418913.429571152
2013-01-04,338763.402297974
2013-01-05,418171.358545303
2013-01-06,531923.413283348
2013-01-07,420692.064834595
2013-01-08,287714.97019577
2013-01-09,369180.683710575
2013-01-10,315497.46549654
2013-01-11,303499.295538425
2013-01-12,400664.02759552
2013-01-13,509883.091188908
2013-01-14,369815.644042969
2013-01-15,295501.461914539
2013-01-16,298880.07303524
2013-01-17,283697.918976069
2013-01-18,278244.565034866
2013-01-19,402172.013509274
2013-01-20,505327.817405313
2013-01-21,402190.046977282
2013-01-22,296858.288562298
2013-01-23,296471.879480362
2013-01-24,267630.523468256
2013-01-25,270838.678891182
2013-01-26,409067.593623638
2013-01-27,483350.564384937
2013-01-28,348095.061453819
2013-01-29,275958.075489521
2013-01-30,273792.036170483
2013-01-31,243620.56066674
2013-02-01,296325.27717609
2013-02-02,450729.844603032
2013-02-03,523698.27939501
2013-02-04,365241.117505439
2013-02-05,311136.920985028
2013-02-06,294335.280590832
2013-02-07,281395.721140064
2013-02-08,324249.284337908
2013-02-09,453105.302957993
2013-02-10,446667.952373982
2013-02-11,314765.494346753
2013-02-12,313027.901109383
2013-02-13,303447.092524625
2013-02-14,313969.097093821
2013-02-15,301455.207897589
2013-02-16,406524.775055572
2013-02-17,416120.800904483
2013-02-18,369210.111928184
2013-02-19,316280.549656093
2013-02-20,297428.831105202
2013-02-21,280133.004381895
2013-02-22,283325.031757325
2013-02-23,409980.467999712
2013-02-24,444885.055514619
2013-02-25,365680.671066642
2013-02-26,294359.515415847
2013-02-27,281117.461420804
2013-02-28,264529.843897879
2013-03-01,281181.561532274
2013-03-02,438731.252106514
2013-03-03,567771.863724169
2013-03-04,396033.139957815
2013-03-05,328007.799687431
2013-03-06,315368.969978855
2013-03-07,304006.164402471
2013-03-08,327095.103078248
2013-03-09,452672.213236354
2013-03-10,528647.909001406
2013-03-11,364420.052308203
2013-03-12,302007.146366016
2013-03-13,296249.156149508
2013-03-14,287223.521791578
2013-03-15,274503.047986942
2013-03-16,426780.240141712
2013-03-17,510659.987846449
2013-03-18,361579.424578608
2013-03-19,289479.584744006
2013-03-20,295424.975613088
2013-03-21,279128.309696544
2013-03-22,286476.684650914
2013-03-23,427387.960632566
2013-03-24,496793.614371419
2013-03-25,340033.272404016
2013-03-26,294020.028379418
2013-03-27,297243.416847736
2013-03-28,292629.031382263
2013-03-29,348278.207567591
2013-03-30,431477.674818758
2013-03-31,474851.488211311
2013-04-01,363347.66544047
2013-04-02,349539.924522042
2013-04-03,353446.543102981
2013-04-04,337169.058081314
2013-04-05,314241.137325527
2013-04-06,439881.329426304
2013-04-07,521341.888135534
2013-04-08,403907.399654374
2013-04-09,341169.405460761
2013-04-10,330795.296680525
2013-04-11,292836.719963403
2013-04-12,297007.614056975
2013-04-13,443968.71488424
2013-04-14,512154.363640532
2013-04-15,366319.16391495
2013-04-16,318582.7712207
2013-04-17,320877.25298448
2013-04-18,296130.553934366
2013-04-19,292514.762558178
2013-04-20,425017.447954264
2013-04-21,501287.93367115
2013-04-22,359063.389187397
2013-04-23,314599.751831742
2013-04-24,308521.87182413
2013-04-25,283720.393279791
2013-04-26,283998.630007925
2013-04-27,416067.659125324
2013-04-28,495119.011322364
2013-04-29,366584.898639977
2013-04-30,310782.086471707
2013-05-01,387005.0229626
2013-05-02,372459.911579581
2013-05-03,327677.122100264
2013-05-04,460399.683378898
2013-05-05,542496.623832651
2013-05-06,389956.724958748
2013-05-07,325680.020327553
2013-05-08,375887.521530747
2013-05-09,324663.946322244
2013-05-10,332452.860280931
2013-05-11,444199.889616404
2013-05-12,510343.357753504
2013-05-13,346507.777318955
2013-05-14,323174.483676614
2013-05-15,321192.287776233
2013-05-16,310922.927510828
2013-05-17,312491.01320228
2013-05-18,454541.472420782
2013-05-19,475865.139609378
2013-05-20,376636.378792316
2013-05-21,315486.653364781
2013-05-22,310955.204133437
2013-05-23,296146.464169443
2013-05-24,315889.008398682
2013-05-25,464385.890534215
2013-05-26,488327.23343334
2013-05-27,413644.596086063
2013-05-28,306272.612562314
2013-05-29,301250.070348218
2013-05-30,296227.138574855
2013-05-31,347741.419862807
2013-06-01,438519.146304563
2013-06-02,562765.248626489
2013-06-03,420666.047197208
2013-06-04,356215.723720253
2013-06-05,341296.877964661
2013-06-06,321496.972040268
2013-06-07,316445.916341603
2013-06-08,482795.831736751
2013-06-09,562830.851675022
2013-06-10,406271.953534767
2013-06-11,332199.670479555
2013-06-12,320576.358646274
2013-06-13,304749.027450912
2013-06-14,314325.448373064
2013-06-15,453301.953827825
2013-06-16,536601.775628913
2013-06-17,360886.412884027
2013-06-18,318885.623640493
2013-06-19,317798.944799807
2013-06-20,292481.709788248
2013-06-21,301979.94744663
2013-06-22,441447.560354974
2013-06-23,473174.473930374
2013-06-24,373798.143056482
2013-06-25,314165.889751598
2013-06-26,308127.77320239
2013-06-27,288651.387464315
2013-06-28,289227.638107397
2013-06-29,431361.067103576
2013-06-30,542320.013158768
2013-07-01,409820.924936011
2013-07-02,368833.402701635
2013-07-03,354302.536014736
2013-07-04,375803.667091083
2013-07-05,338783.404711336
2013-07-06,462261.747970622
2013-07-07,516995.069197733
2013-07-08,397060.482958168
2013-07-09,346625.122487158
2013-07-10,334620.814190552
2013-07-11,311162.331038997
2013-07-12,321740.479707927
2013-07-13,416871.237665992
2013-07-14,478034.251434542
2013-07-15,364201.664247453
2013-07-16,316046.012939721
2013-07-17,323768.312796831
2013-07-18,306269.360714376
2013-07-19,307303.647514403
2013-07-20,404454.74116905
2013-07-21,446944.730185073
2013-07-22,348111.633666456
2013-07-23,327644.281353384
2013-07-24,313506.424487904
2013-07-25,301840.309042052
2013-07-26,311815.387162209
2013-07-27,403973.139369912
2013-07-28,442884.033732437
2013-07-29,346297.155532479
2013-07-30,310609.496672809
2013-07-31,335430.829684436
2013-08-01,352772.614729017
2013-08-02,365442.317998648
2013-08-03,457388.746723112
2013-08-04,504734.63910044
2013-08-05,381832.916881889
2013-08-06,345298.440450385
2013-08-07,350407.258340746
2013-08-08,350554.757946432
2013-08-09,332278.882447556
2013-08-10,398256.652005553
2013-08-11,474662.611287259
2013-08-12,364065.341532588
2013-08-13,328383.82204859
2013-08-14,331410.391710267
2013-08-15,318486.356163263
2013-08-16,329085.425812006
2013-08-17,430571.862725239
2013-08-18,459663.539458346
2013-08-19,361805.26757808
2013-08-20,322088.776948124
2013-08-21,325143.843116507
2013-08-22,319742.592953011
2013-08-23,333252.180692613
2013-08-24,419430.328831334
2013-08-25,454531.460863579
2013-08-26,351958.918094605
2013-08-27,324028.80801104
2013-08-28,330090.495461568
2013-08-29,320217.806754559
2013-08-30,334853.916933894
2013-08-31,451413.363623809
2013-09-01,534578.831878215
2013-09-02,495788.697215792
2013-09-03,366038.125298709
2013-09-04,359166.700519443
2013-09-05,342956.996433169
2013-09-06,342905.583610445
2013-09-07,465120.253813211
2013-09-08,585858.923903115
2013-09-09,420217.319406465
2013-09-10,343596.87887305
2013-09-11,340489.802209884
2013-09-12,321920.430749849
2013-09-13,318813.208884493
2013-09-14,451996.81727628
2013-09-15,535230.534132872
2013-09-16,385233.976173356
2013-09-17,321846.731118456
2013-09-18,320920.783157736
2013-09-19,303087.871321868
2013-09-20,308532.960264161
2013-09-21,438621.987685476
2013-09-22,514932.84956066
2013-09-23,377899.495767236
2013-09-24,328256.689159475
2013-09-25,310748.688207373
2013-09-26,298526.593460899
2013-09-27,309029.324970745
2013-09-28,447990.236304607
2013-09-29,522580.918314632
2013-09-30,398433.008472368
2013-10-01,345210.184301138
2013-10-02,375731.997546226
2013-10-03,349700.03829442
2013-10-04,349196.971753966
2013-10-05,477131.579735424
2013-10-06,555807.70044978
2013-10-07,391774.248362333
2013-10-08,363094.626108661
2013-10-09,357440.404580444
2013-10-10,329440.476436183
2013-10-11,357330.901517019
2013-10-12,480482.014010016
2013-10-13,492375.114729758
2013-10-14,372622.472238258
2013-10-15,323234.858830631
2013-10-16,317759.037167147
2013-10-17,328903.132145673
2013-10-18,345736.403576359
2013-10-19,416028.603532478
2013-10-20,515178.675243203
2013-10-21,375683.367891982
2013-10-22,312736.008887794
2013-10-23,322158.953080252
2013-10-24,311248.683299989
2013-10-25,307758.833199836
2013-10-26,435190.643165864
2013-10-27,509032.253219657
2013-10-28,384345.692445129
2013-10-29,320062.463752627
2013-10-30,321517.538556464
2013-10-31,325506.773588616
2013-11-01,341033.589395166
2013-11-02,434737.018119667
2013-11-03,512513.45250031
2013-11-04,415933.853327543
2013-11-05,345741.308266969
2013-11-06,350577.147280054
2013-11-07,344899.481273547
2013-11-08,354101.310856507
2013-11-09,473402.76918976
2013-11-10,568992.445585102
2013-11-11,414897.232613341
2013-11-12,370776.908805924
2013-11-13,347062.891872302
2013-11-14,328208.006951721
2013-11-15,332827.92076403
2013-11-16,466944.659721602
2013-11-17,572257.543354448
2013-11-18,398473.609119624
2013-11-19,342783.809067355
2013-11-20,335206.978035972
2013-11-21,314463.634653535
2013-11-22,329549.78845674
2013-11-23,459679.868981224
2013-11-24,544976.059291035
2013-11-25,393381.51553214
2013-11-26,332113.516641469
2013-11-27,335810.622303636
2013-11-28,369105.196013212
2013-11-29,337826.709964828
2013-11-30,477201.405397736
2013-12-01,592469.760020025
2013-12-02,476716.185945765
2013-12-03,389169.961758807
2013-12-04,382603.321710348
2013-12-05,370844.888879418
2013-12-06,389258.178903684
2013-12-07,525676.859932091
2013-12-08,616657.128066029
2013-12-09,450668.049033269
2013-12-10,396870.669325277
2013-12-11,396745.598219127
2013-12-12,388839.904146642
2013-12-13,392724.115392983
2013-12-14,524863.073764175
2013-12-15,609735.97782208
2013-12-16,477321.180098325
2013-12-17,429848.439941436
2013-12-18,447347.062001206
2013-12-19,471687.967914522
2013-12-20,470405.803747058
2013-12-21,559838.407387704
2013-12-22,659409.756543636
2013-12-23,619009.562249377
2013-12-24,621428.98171252
2013-12-26,528872.376453251
2013-12-27,476052.984830499
2013-12-28,564433.801040556
2013-12-29,618883.023627274
2013-12-30,542631.195285767
2013-12-31,591550.892545164
2014-01-01,435510.258244734
2014-01-02,407744.252079248
2014-01-03,644001.461520925
2014-01-04,747934.532388792
2014-01-05,842973.014932904
2014-01-06,678506.741877288
2014-01-07,519988.965944618
2014-01-08,473470.822415218
2014-01-09,606168.62524289
2014-01-10,556612.155173689
2014-01-11,763666.565068044
2014-01-12,865719.948354028
2014-01-13,590248.288643048
2014-01-14,497683.201376276
2014-01-15,526807.089546443
2014-01-16,496354.25911379
2014-01-17,508033.575607063
2014-01-18,715360.459220216
2014-01-19,830875.900961429
2014-01-20,670569.253275629
2014-01-21,487207.669391595
2014-01-22,513342.850388676
2014-01-23,489564.512055397
2014-01-24,494371.763459653
2014-01-25,699612.524759438
2014-01-26,798181.711264186
2014-01-27,575231.891523272
2014-01-28,486569.147385709
2014-01-29,491589.468011797
2014-01-30,462267.993878748
2014-01-31,489091.427889705
2014-02-01,717446.770270661
2014-02-02,689245.449664701
2014-02-03,497644.653601646
2014-02-04,418399.1180107
2014-02-05,393695.279893428
2014-02-06,384866.488359422
2014-02-07,417990.433877021
2014-02-08,559448.536290672
2014-02-09,581289.808399353
2014-02-10,436724.799301446
2014-02-11,376576.248474643
2014-02-12,367738.346088469
2014-02-13,377863.578690425
2014-02-14,389380.724818081
2014-02-15,509459.461631544
2014-02-16,566429.98861425
2014-02-17,510570.989869565
2014-02-18,380882.341028482
2014-02-19,365371.784821302
2014-02-20,350150.710871868
2014-02-21,353841.2329503
2014-02-22,525121.755001355
2014-02-23,587071.179853089
2014-02-24,420884.77094999
2014-02-25,380451.578298736
2014-02-26,348454.627051204
2014-02-27,334565.022143036
2014-02-28,374320.15608646
2014-03-01,583153.47097934
2014-03-02,739376.853018489
2014-03-03,615417.142879978
2014-03-04,590994.781288177
2014-03-05,599504.832941264
2014-03-06,576072.3678177
2014-03-07,550297.130315259
2014-03-08,807701.175007634
2014-03-09,782778.810618505
2014-03-10,609630.753263265
2014-03-11,577215.319737151
2014-03-12,590010.712043017
2014-03-13,537406.50638026
2014-03-14,517722.062125012
2014-03-15,706473.841689333
2014-03-16,860461.589695409
2014-03-17,623065.204889074
2014-03-18,531997.225108653
2014-03-19,540816.857086465
2014-03-20,494935.079977617
2014-03-21,503053.140138686
2014-03-22,716775.162195019
2014-03-23,856425.938713539
2014-03-24,594987.606344387
2014-03-25,516331.953271628
2014-03-26,536633.971924409
2014-03-27,492541.760930169
2014-03-28,499348.987192869
2014-03-29,727981.222573586
2014-03-30,855225.176984239
2014-03-31,623793.131425828
2014-04-01,570263.14717646
2014-04-02,466433.586170524
2014-04-03,434288.769213587
2014-04-04,438882.205367681
2014-04-05,627010.636588089
2014-04-06,709201.822941199
2014-04-07,505491.083546132
2014-04-08,414119.404179283
2014-04-09,403261.118112478
2014-04-10,373278.332462918
2014-04-11,379110.577597838
2014-04-12,546740.417348024
2014-04-13,600933.877319321
2014-04-14,426805.741459996
2014-04-15,371471.464786351
2014-04-16,375988.349894255
2014-04-17,379618.176276654
2014-04-18,398075.512188479
2014-04-19,526721.286377784
2014-04-20,553296.374542348
2014-04-21,402200.033641785
2014-04-22,370280.926811963
2014-04-23,377197.214605957
2014-04-24,367377.575493619
2014-04-25,355621.324137762
2014-04-26,487326.25922177
2014-04-27,541079.66926859
2014-04-28,413000.760178678
2014-04-29,353563.508699264
2014-04-30,370319.563555121
2014-05-01,407173.52829146
2014-05-02,439192.807281956
2014-05-03,568056.225544993
2014-05-04,645611.197414294
2014-05-05,467644.349931628
2014-05-06,384383.65351446
2014-05-07,378729.453465775
2014-05-08,422945.760356516
2014-05-09,400384.991138548
2014-05-10,522927.382916622
2014-05-11,571299.807264626
2014-05-12,404781.72236076
2014-05-13,379044.878731549
2014-05-14,365968.391471565
2014-05-15,352900.003209055
2014-05-16,375547.881792903
2014-05-17,552960.794739813
2014-05-18,558357.246458609
2014-05-19,443890.657620967
2014-05-20,368035.768199947
2014-05-21,356414.877207652
2014-05-22,340025.95974505
2014-05-23,360903.883765221
2014-05-24,474958.834331684
2014-05-25,608615.396636073
2014-05-26,481269.329815723
2014-05-27,356601.481413659
2014-05-28,345836.484512121
2014-05-29,332036.687195003
2014-05-30,367086.216389835
2014-05-31,553660.061810926
2014-06-01,653672.556140188
2014-06-02,496501.237638086
2014-06-03,412110.185557902
2014-06-04,394797.635271668
2014-06-05,376171.213601291
2014-06-06,380903.050092578
2014-06-07,558417.679815579
2014-06-08,656256.90840666
2014-06-09,471696.579196349
2014-06-10,396699.873010922
2014-06-11,379729.140865758
2014-06-12,371104.329549819
2014-06-13,373480.107091412
2014-06-14,557935.133946806
2014-06-15,572707.11557208
2014-06-16,416021.70918107
2014-06-17,395388.781647787
2014-06-18,377873.652957887
2014-06-19,351392.591053259
2014-06-20,392108.740798324
2014-06-21,553721.790562529
2014-06-22,563212.734056063
2014-06-23,456546.578959495
2014-06-24,379296.041521341
2014-06-25,375962.75774093
2014-06-26,347946.5893647
2014-06-27,351393.205795672
2014-06-28,482672.566888768
2014-06-29,546673.443772365
2014-06-30,470949.69872801
2014-07-01,529744.59525682
